Plant origin,Nuts and seeds,Oil seeds,Almond,Nut Allergy
Plant origin,Fruits,Pome fruits,Apple,Oral Allergy Syndrome
Plant origin,Fruits,Stone fruits,Apricot,Stone Fruit Allergy
Plant origin,Vegetables,Composite vegetables,Artichoke,Insulin Allergy
Plant origin,Vegetables,Liliaceous vegetables,Asparagus,Allium Allergy
Plant origin,Fruits,Assorted tropical and sub-tropical fruits,Avocado,Oral Allergy Syndrome
Plant origin,Vegetables,Miscellaneous vegetables,Bamboo shoots,Histamine Allergy
Plant origin,Fruits,Assorted tropical and sub-tropical fruits,Banana,Banana Allergy
Plant origin,Cereal grains and legumes/pulses,Cereal grains,Barley,Gluten Allergy
Plant origin,Cereal grains and legumes/pulses,Legumes/pulses,Beans,Legume Allergy
Plant origin,Fruits,Berries,Blackberry,Salicylate Allergy
Plant origin,Fruits,Berries,Blueberry,Salicylate Allergy
Animal origin,Aquatic animals,Fish,Bonito,Histamine Allergy
Plant origin,Cereal grains and legumes/pulses,Legumes/pulses,Broad beans,Legume Allergy
Plant origin,Vegetables,Cruciferous vegetables,Broccoli,Broccoli allergy
Plant origin,Vegetables,Cruciferous vegetables,Brussels sprouts,Cruciferous Allergy
Plant origin,Cereal grains and legumes/pulses,Cereal grains,Buckwheat,Gluten Allergy
Plant origin,Vegetables,Composite vegetables,Burdock,Ragweed Allergy
Plant origin,Cereal grains and legumes/pulses,Legumes/pulses,Butter beans,Legume Allergy
Plant origin,Vegetables,Mushrooms,Button mushroom,Mushroom Allergy
Plant origin,Vegetables,Cruciferous vegetables,Cabbage,Cruciferous Allergy
Plant origin,Nuts and seeds,Seed for beverages,Cacao beans,
Plant origin,Vegetables,Umbelliferous vegetables,Carrot,Hypersensitivity
Animal origin,Terrestrial mammals,"Terrestrial mammals, edible offals","Cattle, edible offal",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, fat","Cattle, fat",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, kidney","Cattle, kidney",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, liver","Cattle, liver",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, muscle","Cattle, muscle",Alpha-gal Syndrome
Plant origin,Vegetables,Cruciferous vegetables,Cauliflower,Cruciferous Allergy
Plant origin,Vegetables,Umbelliferous vegetables,Celery,Hypersensitivity
Plant origin,Fruits,Stone fruits,Cherry,Stone Fruit Allergy
Plant origin,Nuts and seeds,Oil seeds,Chestnut,Nut Allergy
Animal origin,Poultry,"Poultry, edible offals","Chicken, edible offal",Poultry Allergy
Animal origin,Poultry,"Poultry, eggs","Chicken, eggs",Poultry Allergy
Animal origin,Poultry,"Poultry, fat","Chicken, fat",Poultry Allergy
Animal origin,Poultry,"Poultry, kidney","Chicken, kidney",Poultry Allergy
Animal origin,Poultry,"Poultry, liver","Chicken, liver",Poultry Allergy
Animal origin,Poultry,"Poultry, muscle","Chicken, muscle",Poultry Allergy
Plant origin,Vegetables,Composite vegetables,Chicory,Insulin Allergy
Plant origin,Vegetables,Cruciferous vegetables,Chinese cabbage,Cruciferous Allergy
Plant origin,Nuts and seeds,Seed for beverages,Coffee beans,Ochratoxin Allergy
Plant origin,Cereal grains and legumes/pulses,Cereal grains,Corn,Corn Allergy
Plant origin,Nuts and seeds,Oil seeds,Cotton seeds,Seed Allergy
Plant origin,Cereal grains and legumes/pulses,Legumes/pulses,Cow beans,Legume Allergy
Plant origin,Fruits,Berries,Cranberry,Salicylate Allergy
Animal origin,Aquatic animals,Shellfish,Crustaceans,Shellfish Allergy
Plant origin,Vegetables,Cucurbitaceous vegetables,Cucumber ,
Plant origin,Fruits,Assorted tropical and sub-tropical fruits,Date,Oral Allergy Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, edible offals","Deer, edible offal",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, fat","Deer, fat",Alpha-gal Syndrome
Animal origin,Terrestrial mammals,"Terrestrial mammals, kidney","Deer, kidney",Alpha-gal Syndrome
